TEAM_ABBREVIATION_HOME,FGM_HOME,FG_PCT_HOME,FG3_PCT_HOME,DREB_HOME,AST_HOME,FGM_AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,DREB_AWAY,LARGEST_LEAD_HOME,LARGEST_LEAD_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
GSW,41,0.427,0.3,35,29,35,0.422,0.333,25,23,2,3,0,1
CHI,37,0.425,0.368,40,13,38,0.404,0.31,39,13,6,3,1,1
ATL,37,0.451,0.296,33,22,37,0.385,0.414,36,5,19,3,1,0
LAL,35,0.389,0.265,36,18,38,0.458,0.25,33,16,9,1,2,0
PHX,34,0.391,0.25,40,15,40,0.471,0.476,42,5,28,0,3,0
BKN,39,0.419,0,29,19,42,0.538,0.5,34,0,19,1,2,0
BOS,39,0.459,0.333,31,31,34,0.41,0.318,32,20,9,4,0,1
ORL,37,0.37,0.192,39,20,33,0.393,0.25,34,8,9,0,4,0
HOU,30,0.345,0.229,29,17,40,0.506,0.481,40,0,20,0,3,0
MIA,36,0.493,0.6,39,23,33,0.393,0.25,32,20,7,2,2,1
DET,30,0.405,0.368,35,16,35,0.467,0.167,34,9,7,2,0,1
POR,44,0.5,0.375,45,22,36,0.396,0.333,34,30,0,3,1,1
MIL,30,0.349,0.5,29,17,42,0.452,0.391,30,7,25,2,2,0
SAC,41,0.436,0.458,37,24,42,0.525,0.316,36,1,15,1,3,0
TOR,36,0.45,0.389,41,19,32,0.372,0.391,32,12,16,3,1,1
OKC,42,0.488,0.368,34,21,45,0.484,0.333,29,6,8,2,2,1
MEM,29,0.354,0.125,29,15,41,0.488,0.448,42,2,32,1,1,0
NYK,38,0.409,0.207,32,21,42,0.506,0.417,32,4,22,2,2,0
LAC,38,0.437,0.258,45,21,35,0.361,0.2,41,28,3,3,1,1
IND,37,0.474,0.4,28,23,41,0.5,0.438,30,9,15,0,2,0
PHI,19,0.302,0.4,31,15,36,0.409,0.538,38,1,32,0,2,0
SAS,40,0.465,0.409,44,23,31,0.403,0.313,30,27,10,2,0,1
PHX,37,0.446,0.222,44,17,34,0.395,0.375,31,22,3,2,1,1
BOS,32,0.376,0.269,31,23,36,0.439,0.423,44,6,19,1,3,0
ORL,47,0.443,0.364,35,25,50,0.455,0.296,40,18,5,0,2,0
CLE,39,0.453,0.24,35,25,33,0.429,0.286,32,20,5,1,2,1
HOU,30,0.366,0.217,37,19,43,0.462,0.346,36,5,25,0,3,0
DET,39,0.375,0.214,41,18,34,0.405,0.318,42,9,4,3,1,1
MIL,42,0.512,0.292,26,33,35,0.515,0.571,29,13,8,1,3,0
ATL,36,0.434,0.348,37,23,36,0.409,0.4,41,14,4,3,1,1
SAC,52,0.515,0.273,40,26,41,0.461,0.324,29,31,2,4,0,1
DEN,29,0.305,0.2,34,15,30,0.423,0.182,42,0,21,3,1,0
LAC,39,0.513,0.235,35,25,43,0.426,0.333,30,12,12,3,1,1
POR,33,0.418,0.267,35,20,39,0.415,0.344,37,4,11,1,2,0
IND,28,0.4,0.235,27,10,39,0.443,0.4,32,10,21,0,2,0
WAS,38,0.422,0.273,32,17,41,0.477,0.474,31,7,9,2,1,0
MEM,34,0.425,0.391,31,26,38,0.481,0.231,35,16,2,2,0,1
NOP,46,0.46,0.364,32,22,46,0.548,0.567,35,6,16,0,3,0
LAL,31,0.365,0.294,34,18,40,0.46,0.367,41,0,18,0,3,0
CHI,33,0.379,0.25,36,23,35,0.389,0.304,31,15,3,1,2,1
BOS,35,0.357,0.207,29,21,36,0.434,0.263,41,2,15,0,2,0
MIA,42,0.488,0.409,37,24,32,0.405,0.278,31,22,21,1,1,1
CHA,32,0.372,0.378,36,27,37,0.42,0.241,39,8,14,1,3,0
TOR,41,0.456,0.44,28,22,29,0.42,0.263,26,21,3,4,0,1
OKC,45,0.523,0.52,37,32,35,0.38,0.346,21,30,4,4,0,1
PHI,38,0.447,0.292,28,22,42,0.519,0.364,36,15,21,0,4,0
GSW,43,0.512,0.44,55,32,26,0.271,0.13,33,52,3,4,0,1
NYK,32,0.36,0.308,32,17,39,0.494,0.308,37,8,14,0,2,0
BKN,36,0.456,0.316,25,21,38,0.521,0.391,28,6,13,0,3,0
LAC,37,0.457,0.308,43,20,36,0.367,0.3,39,14,8,2,2,1
HOU,41,0.461,0.31,27,22,40,0.476,0.435,41,7,15,2,2,1
MIN,34,0.43,0.231,33,22,41,0.461,0.3,35,17,10,1,3,0
LAL,36,0.419,0.231,29,18,43,0.506,0.35,38,10,11,1,3,0
MIA,38,0.442,0.179,36,13,37,0.411,0.333,35,4,15,3,1,0
DET,33,0.384,0.227,31,14,38,0.432,0.304,30,9,20,1,3,0
DAL,33,0.384,0.304,30,20,37,0.451,0.294,37,6,13,0,2,0
SAC,29,0.392,0.35,27,17,40,0.482,0.15,38,4,21,0,3,0
CHA,47,0.516,0.609,40,26,44,0.489,0.467,29,35,0,3,1,1
NOP,32,0.356,0.333,36,23,42,0.467,0.389,45,1,18,0,2,0
GSW,39,0.459,0.385,33,28,43,0.489,0.364,31,17,10,4,0,1
PHX,45,0.542,0.609,32,27,40,0.476,0.458,26,21,0,1,3,1
CLE,33,0.398,0.259,39,21,33,0.393,0.333,31,14,15,4,0,1
HOU,42,0.477,0.324,32,28,46,0.505,0.35,29,10,8,1,1,1
UTA,33,0.375,0.208,24,9,41,0.532,0.44,35,5,16,1,3,0
MIL,35,0.407,0.348,28,24,34,0.42,0.214,39,10,7,3,0,1
