TEAM_ID_HOME,TEAM_ID_AWAY,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,PTS_PAINT_HOME,PTS_2ND_CHANCE_HOME,PTS_FB_HOME,LARGEST_LEAD_HOME,LEAD_CHANGES_HOME,TIMES_TIED_HOME,TEAM_TURNOVERS_HOME,TOTAL_TURNOVERS_HOME,TEAM_REBOUNDS_HOME,PTS_OFF_TO_HOME,PTS_PAINT_AWAY,PTS_2ND_CHANCE_AWAY,PTS_FB_AWAY,LARGEST_LEAD_AWAY,LEAD_CHANGES_AWAY,TIMES_TIED_AWAY,TEAM_TURNOVERS_AWAY,TOTAL_TURNOVERS_AWAY,TEAM_REBOUNDS_AWAY,PTS_OFF_TO_AWAY,ATTENDANCE,PTS_QTR1_HOME,PTS_QTR2_HOME,PTS_QTR3_HOME,PTS_QTR4_HOME,PTS_OT1_HOME,PTS_OT2_HOME,PTS_OT3_HOME,PTS_OT4_HOME,PTS_OT5_HOME,PTS_OT6_HOME,PTS_OT7_HOME,PTS_OT8_HOME,PTS_OT9_HOME,PTS_OT10_HOME,PTS_QTR1_AWAY,PTS_QTR2_AWAY,PTS_QTR3_AWAY,PTS_QTR4_AWAY,PTS_OT1_AWAY,PTS_OT2_AWAY,PTS_OT3_AWAY,PTS_OT4_AWAY,PTS_OT5_AWAY,PTS_OT6_AWAY,PTS_OT7_AWAY,PTS_OT8_AWAY,PTS_OT9_AWAY,PTS_OT10_AWAY,HOME_TEAM_WINS,HOME_TEAM_LOSSES,HOME_W
GSW,NOP,41,96,0.427,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,16,35,83,0.422,6,18,0.333,19,27,0.704,8,25,33,21,9,3,19,26,-16,54,21,13,23,6,3,0,20,8,29,40,8,18,2,6,3,1,19,16,26,19596,39,20,35,17,0,0,0,0,0,0,0,0,0,0,35,14,26,20,0,0,0,0,0,0,0,0,0,0,3,0,1
CHI,CLE,37,87,0.425,7,19,0.368,16,23,0.696,7,40,47,13,6,10,13,22,2,38,94,0.404,9,29,0.31,10,17,0.588,11,39,50,26,5,7,11,21,-2,32,13,15,13,3,2,0,13,11,15,42,12,13,6,3,2,1,11,12,13,21957,26,20,25,26,0,0,0,0,0,0,0,0,0,0,17,23,28,27,0,0,0,0,0,0,0,0,0,0,3,1,1
ATL,DET,37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,-12,37,96,0.385,12,29,0.414,20,26,0.769,23,36,59,23,5,3,15,15,12,42,6,15,5,2,4,0,15,4,20,36,16,10,19,2,4,0,15,10,19,19187,25,18,23,28,0,0,0,0,0,0,0,0,0,0,25,23,34,24,0,0,0,0,0,0,0,0,0,0,3,1,0
LAL,MIN,35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,14,29,-1,38,83,0.458,5,20,0.25,31,37,0.838,6,33,39,24,3,4,8,26,1,36,21,7,16,2,2,1,14,13,19,42,19,17,9,2,2,0,8,9,6,18997,31,29,35,16,0,0,0,0,0,0,0,0,0,0,22,29,37,24,0,0,0,0,0,0,0,0,0,0,1,2,0
PHX,DAL,34,87,0.391,6,24,0.25,21,33,0.636,13,40,53,15,3,3,18,30,-16,40,85,0.471,10,21,0.476,21,31,0.677,6,42,48,24,7,3,8,25,16,36,11,17,5,6,8,0,18,12,13,48,8,25,28,6,8,0,8,7,4,18055,22,23,21,29,0,0,0,0,0,0,0,0,0,0,24,30,34,23,0,0,0,0,0,0,0,0,0,0,0,3,0
BKN,CHI,39,93,0.419,0,9,0,22,28,0.786,16,29,45,19,11,5,13,18,-15,42,78,0.538,14,28,0.5,17,20,0.85,5,34,39,20,9,3,20,24,15,46,15,8,0,0,0,0,13,5,12,42,9,10,19,0,0,1,20,10,22,17732,19,36,16,29,0,0,0,0,0,0,0,0,0,0,30,28,28,29,0,0,0,0,0,0,0,0,0,0,1,2,0
BOS,PHI,39,85,0.459,8,24,0.333,26,27,0.963,10,31,41,31,10,7,17,23,17,34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,24,22,-17,52,16,26,20,2,2,0,17,8,18,52,14,7,9,2,2,2,24,4,34,18624,21,30,28,33,0,0,0,0,0,0,0,0,0,0,26,14,27,28,0,0,0,0,0,0,0,0,0,0,4,0,1
ORL,WAS,37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,16,22,-1,33,84,0.393,7,28,0.25,15,25,0.6,15,34,49,17,8,9,18,14,1,46,18,12,8,10,6,2,16,12,14,30,12,17,9,11,6,1,18,11,15,18846,29,22,16,20,0,0,0,0,0,0,0,0,0,0,31,22,12,23,0,0,0,0,0,0,0,0,0,0,0,4,0
HOU,DEN,30,87,0.345,8,35,0.229,17,26,0.654,15,29,44,17,13,8,17,19,-20,40,79,0.506,13,27,0.481,12,18,0.667,9,40,49,26,9,10,21,26,20,42,12,11,0,0,0,1,17,9,15,42,6,9,20,0,0,0,21,9,26,18240,21,28,14,22,0,0,0,0,0,0,0,0,0,0,27,26,23,29,0,0,0,0,0,0,0,0,0,0,0,3,0
MIA,CHA,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,10,33,84,0.393,6,24,0.25,22,29,0.759,11,32,43,16,4,1,9,16,-10,40,5,15,20,6,4,0,13,6,19,42,13,8,7,6,4,1,9,6,11,19724,23,31,19,31,0,0,0,0,0,0,0,0,0,0,27,17,16,34,0,0,0,0,0,0,0,0,0,0,2,2,1
